type,pkt_count,mac,rssi,rate,noise_floor,channel,rx_local_timestamp_us,len,data
CSI_DATA,63577,3c:dc:75:82:1e:a8,-26,11,-98,157,838478352,114,"[-15,12,-17,11,-18,11,-18,10,-19,10,-19,10,-20,10,-20,10,-19,11,-21,9,-21,11,-21,11,-23,12,-22,14,-22,13,-23,15,-23,17,-22,18,-23,18,-24,19,-23,20,-23,21,-23,22,-24,24,-25,25,-22,26,-24,30,-22,28,0,0,-22,31,-20,29,-21,31,-22,31,-20,31,-18,31,-18,29,-19,30,-17,31,-14,31,-13,28,-12,29,-12,28,-11,27,-9,29,-8,27,-9,27,-8,27,-6,25,-8,26,-7,26,-8,25,-9,24,-9,24,-9,24,-10,23,-13,21,-11,20]"
CSI_DATA,63578,3c:dc:75:82:1e:a8,-26,11,-98,157,838491352,114,"[6,18,5,19,3,20,2,21,0,20,0,22,0,21,-3,21,-2,22,-4,21,-3,23,-3,23,-4,23,-4,25,-5,25,-4,26,-4,26,-5,28,-6,29,-5,29,-5,30,-5,30,-5,32,-5,33,-6,34,-6,34,-6,35,-6,35,0,0,-8,38,-8,37,-8,34,-9,35,-8,34,-7,34,-8,33,-8,33,-9,33,-7,33,-8,30,-7,29,-8,28,-9,28,-8,27,-8,26,-7,28,-8,26,-8,24,-8,25,-9,24,-10,25,-12,23,-12,23,-13,22,-15,20,-17,18,-16,16]"
CSI_DATA,63579,3c:dc:75:82:1e:a8,-26,11,-98,157,838505008,114,"[-19,4,-20,2,-21,2,-21,0,-20,1,-20,0,-21,0,-22,-2,-23,-1,-22,-3,-24,-2,-23,-3,-25,-1,-26,-1,-26,-1,-26,1,-28,0,-28,5,-29,3,-30,3,-31,4,-32,3,-31,4,-33,4,-34,5,-34,6,-35,8,-35,8,0,0,-36,10,-35,11,-35,11,-35,11,-35,12,-33,11,-33,10,-31,11,-32,12,-30,12,-30,13,-27,13,-27,12,-26,12,-25,14,-24,14,-23,13,-25,15,-23,13,-23,12,-22,12,-23,11,-22,10,-23,10,-24,9,-24,8,-23,4,-23,4]"
CSI_DATA,63580,3c:dc:75:82:1e:a8,-26,11,-98,157,838517353,114,"[15,12,14,15,13,15,12,16,11,17,11,17,11,19,9,20,9,20,8,20,9,21,8,22,9,22,9,23,8,25,9,24,9,26,10,26,10,27,11,28,10,29,11,30,10,30,11,32,10,33,11,34,11,34,11,35,0,0,11,34,11,34,10,35,10,35,8,34,9,34,6,34,6,33,6,33,7,32,8,30,5,30,4,28,4,28,4,28,6,27,5,28,4,27,4,26,3,27,2,25,0,26,-1,25,-2,25,-4,26,-4,23,-9,22,-9,21]"
CSI_DATA,63581,3c:dc:75:82:1e:a8,-26,11,-98,157,838530352,114,"[6,18,6,19,6,20,3,20,3,21,2,20,1,23,2,20,2,21,0,21,3,24,2,23,3,25,3,26,3,25,4,26,4,27,7,28,7,28,6,29,8,29,9,30,8,31,10,32,10,34,11,32,12,33,14,32,0,0,13,35,17,34,16,32,16,33,16,31,15,32,16,31,16,31,17,30,18,28,18,25,18,24,16,24,15,25,18,23,17,22,16,23,16,20,16,21,16,22,15,21,15,22,15,22,14,21,14,22,11,22,9,24,8,21]"
CSI_DATA,63582,3c:dc:75:82:1e:a8,-26,11,-98,157,838543353,114,"[19,-3,19,-1,21,1,21,2,21,3,21,5,21,6,22,5,21,7,22,8,22,7,23,9,23,10,23,10,24,11,25,10,25,11,26,10,27,12,28,13,28,13,30,13,30,13,30,15,32,16,31,16,32,17,31,17,0,0,31,18,33,19,31,20,30,19,32,19,32,18,28,20,29,20,28,18,28,18,25,19,26,18,23,20,22,18,23,16,21,18,22,18,21,16,21,17,19,19,20,18,17,18,16,21,14,21,14,22,11,23,8,23,7,22]"
CSI_DATA,63583,3c:dc:75:82:1e:a8,-27,11,-98,157,838556353,114,"[18,-1,19,0,21,1,20,2,22,2,20,2,21,3,22,5,21,6,22,5,22,4,23,7,24,4,24,4,25,5,26,3,26,4,29,1,28,2,30,2,29,3,31,1,32,2,32,1,35,0,35,-2,35,-2,34,-1,0,0,36,-2,39,-4,36,-4,36,-5,36,-4,35,-5,34,-3,35,-2,33,-4,33,-6,30,-7,30,-6,29,-7,28,-6,28,-8,27,-8,26,-8,26,-7,26,-6,25,-5,25,-5,25,-4,26,-4,25,-4,25,-3,25,-1,24,2,23,1]"
CSI_DATA,63584,3c:dc:75:82:1e:a8,-27,11,-98,157,838569353,114,"[5,-19,7,-18,9,-20,11,-18,12,-17,13,-18,15,-17,16,-16,16,-16,17,-15,18,-16,19,-16,19,-15,20,-15,21,-16,21,-18,22,-17,22,-17,24,-18,25,-17,25,-17,25,-18,26,-19,28,-18,31,-20,29,-19,31,-20,30,-17,0,0,32,-18,32,-19,33,-18,33,-17,31,-15,32,-15,32,-13,32,-13,31,-13,32,-14,30,-13,30,-11,29,-10,28,-10,28,-9,27,-9,27,-10,27,-7,26,-6,27,-6,26,-4,27,-3,26,-2,24,0,28,2,25,4,24,8,22,8]"
CSI_DATA,63585,3c:dc:75:82:1e:a8,-27,11,-98,157,838582353,114,"[7,-18,8,-19,10,-18,10,-17,11,-17,13,-18,13,-17,14,-18,14,-18,15,-16,14,-18,15,-18,16,-19,16,-20,16,-20,15,-22,15,-21,16,-24,16,-23,17,-25,16,-27,16,-27,17,-28,16,-29,17,-32,17,-30,17,-31,16,-32,0,0,15,-31,14,-34,15,-32,16,-33,15,-32,15,-33,14,-32,15,-31,13,-30,12,-31,11,-31,10,-28,11,-27,11,-26,8,-28,8,-27,9,-27,9,-26,8,-26,9,-26,9,-24,9,-24,11,-23,11,-24,12,-23,13,-21,15,-19,15,-19]"
CSI_DATA,63586,3c:dc:75:82:1e:a8,-27,11,-98,157,838595353,114,"[-16,-11,-16,-13,-15,-14,-14,-15,-12,-17,-12,-16,-12,-18,-11,-18,-11,-19,-9,-20,-10,-20,-9,-21,-9,-22,-9,-24,-8,-23,-9,-24,-8,-25,-9,-26,-8,-26,-8,-28,-8,-29,-9,-30,-8,-31,-7,-31,-8,-34,-6,-33,-6,-35,-6,-34,0,0,-5,-35,-6,-37,-3,-34,-2,-37,-3,-35,-2,-34,-1,-33,-1,-34,0,-33,0,-34,2,-31,1,-30,3,-29,4,-28,2,-29,2,-27,3,-27,3,-26,3,-25,6,-25,6,-24,8,-24,10,-24,11,-24,12,-22,14,-20,16,-18,17,-14]"
